TIMESTAMP,RECORD,AirTF,RH,Rainfall_Tot 
2022-11-25 11:30:00,72352,52.38467,84.42008,0
2022-11-25 11:45:00,72353,52.37369,84.64291,0
2022-11-25 12:00:00,72354,52.23907,85.02753,0
2022-11-25 12:15:00,72355,51.43687,84.38192,0
2022-11-25 12:30:00,72356,52.0028,84.63833,0
2022-11-25 12:45:00,72357,50.84621,83.97747,0
2022-11-25 13:00:00,72358,51.83522,84.19572,0
2022-11-25 13:15:00,72359,50.48907,82.75646,0
2022-11-25 13:30:00,72360,50.87917,82.88924,0
2022-11-25 13:45:00,72361,50.82423,81.10963,0
2022-11-25 14:00:00,72362,51.52753,81.25921,0
2022-11-25 14:15:00,72363,52.34346,80.17557,0
2022-11-25 14:30:00,72364,52.33797,79.30561,0
2022-11-25 14:45:00,72365,53.07699,78.09377,0
2022-11-25 15:00:00,72366,54.58797,73.4387,0
2022-11-25 15:15:00,72367,55.42039,71.83613,0
2022-11-25 15:30:00,72368,54.99731,71.92464,0
2022-11-25 15:45:00,72369,55.19512,70.89291,0
2022-11-25 16:00:00,72370,56.04951,67.24516,0
2022-11-25 16:15:00,72371,55.82698,66.6545,0
2022-11-25 16:30:00,72372,57.02204,64.0904,0
2022-11-25 16:45:00,72373,57.50006,60.50065,0
2022-11-25 17:00:00,72374,57.18687,60.10229,0
2022-11-25 17:15:00,72375,57.45885,58.95608,0
2022-11-25 17:30:00,72376,56.04126,56.82085,0
2022-11-25 17:45:00,72377,55.14017,56.74149,0
2022-11-26 10:00:00,72378,46.92588,44.52995,0
2022-11-26 10:15:00,72379,47.65116,43.27231,0
2022-11-26 10:30:00,72380,48.96709,41.46675,0
2022-11-26 10:45:00,72381,50.28577,39.50705,0
2022-11-26 11:00:00,72382,50.47808,41.66059,0
2022-11-26 11:15:00,72383,51.30226,39.01712,0
2022-11-26 11:30:00,72384,52.39566,38.24331,0
2022-11-26 11:45:00,72385,53.42863,35.72194,0
2022-11-26 12:00:00,72386,53.93138,35.89288,0
2022-11-26 12:15:00,72387,53.65665,34.85961,0
2022-11-26 12:30:00,72388,53.76105,35.26254,0
2022-11-26 12:45:00,72389,54.87918,34.29947,0
2022-11-26 13:00:00,72390,55.81599,33.11205,0
2022-11-26 13:15:00,72391,56.4616,34.43684,0
2022-11-26 13:30:00,72392,56.62644,31.64532,0
2022-11-26 13:45:00,72393,57.81325,31.8712,0
2022-11-26 14:00:00,72394,58.58248,30.08549,0
2022-11-26 14:15:00,72395,58.77205,29.9817,0
2022-11-26 14:30:00,72396,58.87369,29.96797,0
2022-11-26 14:45:00,72397,58.19512,30.4991,0
2022-11-26 15:00:00,72398,59.57423,29.00032,0
2022-11-26 15:15:00,72399,59.59622,28.35777,0
2022-11-26 15:30:00,72400,59.27479,28.5165,0
2022-11-26 15:45:00,72401,59.44786,28.87212,0
2022-11-26 16:00:00,72402,58.1017,29.52383,0
2022-11-26 16:15:00,72403,57.82973,29.88708,0
2022-11-26 16:30:00,72404,57.49731,30.00765,0
2022-11-26 16:45:00,72405,57.09072,28.70576,0
2022-11-26 17:00:00,72406,57.88192,28.69049,0
2022-11-26 17:15:00,72407,57.21709,27.63891,0
2022-11-26 17:30:00,72408,57.31599,29.0919,0
2022-11-26 17:45:00,72409,57.20061,29.40936,0
2022-11-26 18:00:00,72410,56.87368,28.97896,0
2022-11-27 10:30:00,72411,52.32973,51.05772,0
2022-11-27 10:45:00,72412,52.28303,52.12762,0
2022-11-27 11:00:00,72413,52.75829,53.18227,0
2022-11-27 11:15:00,72414,52.56873,54.08429,0
2022-11-27 11:30:00,72415,52.43413,55.64412,0
2022-11-27 11:45:00,72416,50.95885,56.3935,0
2022-11-27 12:00:00,72417,52.88193,56.6026,0
2022-11-27 12:15:00,72418,53.27478,56.10046,0
2022-11-27 12:30:00,72419,53.54127,56.10657,0
2022-11-27 12:45:00,72420,54.19238,55.46249,0
2022-11-27 13:00:00,72421,53.93687,56.31262,0
2022-11-27 13:15:00,72422,54.33522,56.74912,0
2022-11-27 13:30:00,72423,54.78577,56.15083,0
2022-11-27 13:45:00,72424,54.95336,56.06231,0
2022-11-27 14:00:00,72425,55.31051,55.98752,0
2022-11-27 14:15:00,72426,54.87918,56.05925,0
2022-11-27 14:30:00,72427,54.53852,62.77324,0
2022-11-27 14:45:00,72428,53.22808,66.83765,0.01
2022-11-27 15:00:00,72429,53.32149,65.75553,0
2022-11-27 15:15:00,72430,53.62094,65.77538,0
2022-11-27 15:30:00,72431,53.12643,67.67861,0
2022-11-27 15:45:00,72432,51.71709,73.99426,0.01
2022-11-27 16:00:00,72433,50.76104,79.91,0.03
2022-11-28 10:45:00,72434,53.39292,60.3526,0
2022-11-28 11:00:00,72435,52.68412,58.58062,0
2022-11-28 11:15:00,72436,53.01928,58.22043,0
2022-11-28 11:30:00,72437,52.93413,56.63923,0
2022-11-28 11:45:00,72438,53.18962,55.4686,0
2022-11-28 12:00:00,72439,56.16216,51.20424,0
2022-11-28 12:15:00,72440,56.6017,48.22042,0
2022-11-28 12:30:00,72441,57.39841,48.54856,0
2022-11-28 12:45:00,72442,57.54127,45.12365,0
2022-11-28 13:00:00,72443,57.64018,45.12976,0
2022-11-28 13:15:00,72444,58.34896,42.80986,0
2022-11-28 13:30:00,72445,56.61818,46.09283,0
2022-11-28 13:45:00,72446,56.0083,46.36145,0
2022-11-28 14:00:00,72447,55.92863,47.10931,0
2022-11-28 14:15:00,72448,56.45611,45.95393,0
2022-11-28 14:30:00,72449,55.43962,46.78727,0
2022-11-28 14:45:00,72450,54.72809,49.16059,0
2022-11-28 15:00:00,72451,55.65665,47.71218,0
2022-11-28 15:15:00,72452,55.46984,47.80681,0
2022-11-28 15:30:00,72453,56.01654,47.04368,0
2022-11-28 15:45:00,72454,55.57973,47.49697,0
2022-11-28 16:00:00,72455,54.97808,47.80681,0
2022-11-28 16:15:00,72456,55.26929,47.66029,0
2022-11-28 16:30:00,72457,52.98907,49.34375,0
2022-11-28 16:45:00,72458,52.37643,49.27201,0
2022-11-28 17:00:00,72459,52.78851,49.50095,0
2022-11-28 17:15:00,72460,52.52478,49.9985,0
2022-11-28 17:30:00,72461,52.17588,49.53605,0
2022-11-28 17:45:00,72462,51.76929,49.33916,0
2022-11-28 18:00:00,72463,50.89841,48.94997,0
2022-11-29 09:45:00,72464,41.31873,61.61481,0
2022-11-29 10:00:00,72465,41.89291,59.14075,0
2022-11-29 10:15:00,72466,41.81049,59.82605,0
2022-11-29 10:30:00,72467,41.56873,60.29613,0
2022-11-29 10:45:00,72468,42.09621,60.11451,0
2022-11-29 11:00:00,72469,42.4039,59.33459,0
2022-11-29 11:15:00,72470,42.44236,57.86939,0
2022-11-29 11:30:00,72471,42.3517,57.94876,0
2022-11-29 11:45:00,72472,42.90664,57.5794,0
2022-11-29 12:00:00,72473,43.01104,57.60077,0
2022-11-29 12:15:00,72474,42.97533,56.89259,0
2022-11-29 12:30:00,72475,43.38467,55.73264,0
2022-11-29 12:45:00,72476,43.85995,54.3178,0
2022-11-29 13:00:00,72477,44.23082,53.19906,0
2022-11-29 13:15:00,72478,43.85995,55.03666,0
2022-11-29 13:30:00,72479,44.055,55.98599,0
2022-11-29 13:45:00,72480,44.90939,53.90113,0
2022-11-29 14:00:00,72481,44.29676,53.51804,0
2022-11-29 14:15:00,72482,44.30775,55.16182,0
2022-11-29 14:30:00,72483,43.92587,53.89198,0
2022-11-29 14:45:00,72484,44.17039,53.63557,0
2022-11-29 15:00:00,72485,44.95609,52.4985,0
2022-11-29 15:15:00,72486,44.89566,52.37335,0
2022-11-29 15:30:00,72487,45.23907,52.18563,0
2022-11-29 15:45:00,72488,45.06599,51.75217,0
2022-11-29 16:00:00,72489,45.15664,52.69081,0
2022-11-29 16:15:00,72490,45.63467,53.18685,0
2022-11-29 16:30:00,72491,45.51654,52.43898,0
2022-11-29 16:45:00,72492,45.82148,51.15083,0
2022-11-29 17:00:00,72493,45.71434,52.62977,0
2022-11-29 17:15:00,72494,45.22533,52.69692,0
2022-11-29 17:30:00,72495,45.78027,53.47531,0
2022-11-29 17:45:00,72496,44.12917,53.13038,0
2022-11-29 18:00:00,72497,43.55775,52.41914,0
2022-12-01 09:45:00,72498,40.07698,40.28849,0
2022-12-01 10:00:00,72499,40.96159,40.56169,0
2022-12-01 10:15:00,72500,41.59621,39.36969,0
2022-12-01 10:30:00,72501,42.22807,39.16364,0
2022-12-01 10:45:00,72502,41.02203,41.55986,0
2022-12-01 11:00:00,72503,41.35719,39.76956,0
2022-12-01 11:15:00,72504,41.41489,39.36969,0
2022-12-01 11:30:00,72505,41.62917,40.97378,0
2022-12-01 11:45:00,72506,41.9039,39.23843,0
2022-12-01 12:00:00,72507,42.86544,37.40998,0
2022-12-01 12:15:00,72508,42.8984,37.66333,0
2022-12-01 12:30:00,72509,43.29676,36.52322,0
2022-12-01 12:45:00,72510,43.57972,35.43348,0
2022-12-01 13:00:00,72511,43.85719,34.34373,0
2022-12-01 13:15:00,72512,44.24181,33.55924,0
2022-12-01 13:30:00,72513,46.28577,32.02078,0
2022-12-01 13:45:00,72514,46.60445,31.63769,0
2022-12-01 14:00:00,72515,46.36544,32.63891,0
2022-12-01 14:15:00,72516,46.73083,33.20973,0
2022-12-01 14:30:00,72517,47.48083,34.03238,0
2022-12-01 14:45:00,72518,46.82423,34.05527,0
2022-12-01 15:00:00,72519,46.21983,34.57573,0
2022-12-01 15:15:00,72520,45.51379,35.71889,0
2022-12-01 15:30:00,72521,45.63742,35.06565,0
2022-12-01 15:45:00,72522,46.06324,34.46888,0
2022-12-01 16:00:00,72523,45.73906,35.28849,0
2022-12-01 16:15:00,72524,44.93137,34.74361,0
2022-12-01 16:30:00,72525,44.1484,36.12793,0
2022-12-01 16:45:00,72526,44.22258,35.92646,0
2022-12-01 17:00:00,72527,44.04126,35.39227,0
2022-12-01 17:15:00,72528,43.46159,34.19264,0
2022-12-01 17:30:00,72529,43.86819,35.4869,0
2022-12-01 17:45:00,72530,44.18137,34.3941,0
2022-12-01 18:00:00,72531,43.60171,35.02291,0
2022-12-02 10:15:00,72532,38.51653,54.32696,0
2022-12-02 10:30:00,72533,41.20335,47.38098,0
2022-12-02 10:45:00,72534,42.70335,44.92677,0
2022-12-02 11:00:00,72535,43.41489,43.38983,0
2022-12-02 11:15:00,72536,42.09346,45.52964,0.01
2022-12-02 11:30:00,72537,42.55774,43.08916,0
2022-12-02 11:45:00,72538,43.39016,41.86206,0
2022-12-02 12:00:00,72539,43.83247,42.30925,0
2022-12-02 12:15:00,72540,44.14291,41.06993,0
2022-12-02 12:30:00,72541,45.44511,39.40937,0
2022-12-02 12:45:00,72542,45.40939,40.51895,0
2022-12-02 13:00:00,72543,45.40939,40.29765,0
2022-12-02 13:15:00,72544,45.90116,38.45546,0
2022-12-02 13:30:00,72545,46.66489,37.36113,0
2022-12-02 13:45:00,72546,46.46159,38.23568,0
2022-12-02 14:00:00,72547,45.42038,39.16364,0
2022-12-02 14:15:00,72548,47.15665,37.91822,0
2022-12-02 14:30:00,72549,46.41764,37.82817,0
2022-12-02 14:45:00,72550,45.99456,39.35137,0
2022-12-02 15:00:00,72551,47.67314,37.19477,0
2022-12-02 15:15:00,72552,46.24456,38.18684,0
2022-12-02 15:30:00,72553,46.51928,37.75186,0
2022-12-02 15:45:00,72554,46.85994,37.46034,0
2022-12-02 16:00:00,72555,45.2528,39.15601,0
2022-12-02 16:15:00,72556,45.98357,37.51376,0
2022-12-02 16:30:00,72557,44.16763,39.01864,0
2022-12-02 16:45:00,72558,44.05225,39.3651,0
